Frame,AvgReward
280,28.0
403,12.3
532,12.9
673,14.1
782,10.9
881,9.9
990,10.9
1088,9.8
1191,10.3
1288,9.7
1392,10.4
1493,10.1
1587,9.4
1691,10.4
1791,10.0
1890,9.9
1994,10.4
2132,13.8
2259,12.7
2386,12.7
2520,13.4
2690,17.0
2856,16.6
3036,18.0
3199,16.3
4619,142.0
6644,202.5
8312,166.8
10437,212.5
12485,204.8
14608,212.3
16738,213.0
18790,205.2
