Frame,AvgReward
238,23.8
380,14.2
508,12.8
616,10.8
730,11.4
837,10.7
946,10.9
1045,9.9
1160,11.5
1255,9.5
1354,9.9
1456,10.2
1566,11.0
1678,11.2
1784,10.6
1889,10.5
1998,10.9
2111,11.3
2245,13.4
2352,10.7
2469,11.7
2601,13.2
2765,16.4
2958,19.3
3126,16.8
3643,51.7
5629,198.6
7712,208.3
10103,239.1
12485,238.2
14861,237.6
16992,213.1
19480,248.8
